Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"AcademicCareer",2FA10BBA-0C2A-71A2-2280-D693434771AB,220,,C1C235A7-A500-5679-09A1-A4A31685AF3E,120,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"dimStudentProgramPlan",,,VARCHAR,3,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",9C40BA18-5C39-E345-4049-F2A578B7DF86,221,,D5949C57-7464-595A-AE01-D4D98214419B,159,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"StudentAcademicProgram_T2",,,VARCHAR,4,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",5DE34A3A-7BF7-0961-EAC3-5503504CF58D,222,,E1A9BF16-97FB-FBD4-B3C7-815F9B237F46,121,N,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"DimStudentProgramPlanTerm",,,VARCHAR,6,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer",CBF02E82-C7C6-550F-E145-DB32F2547FC8,223,,C8895EDF-05D5-0DFC-BFEC-5EA7357D6DF8,169,Y,Logical Type,,N,,,,DOM3000004,18,LOGDT024,83,,,,,,,,,N,,VARCHAR,,,,N,Y,"Term_T1",,,VARCHAR,4,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",128,128,0,
"AcademicCareer_HK",1F12CCBE-01A3-E989-868A-40D0738EEE47,224,,0C7A995E-2D9F-BB49-975D-F3BB7F9CF678,100,N,Logical Type,,N,,,,DOM3000004,18,LOGDT025,32,,,,,,,,,N,,CHAR,,,,N,Y,"AdmissionProgress_T2",,,CHAR,23,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",64,64,0,
"AcademicCareer_HK",0DC43DEE-82DC-9838-252F-11D6B4EFA5BC,225,,0FBE82E0-CCF2-9665-D210-A583D18EF54D,115,N,Logical Type,,N,,,,DOM3000004,18,LOGDT025,32,,,,,,,,,N,,CHAR,,,,N,Y,"DimStudentAdmissionApplicationTerm",,,CHAR,75,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",64,64,0,
"AcademicCareer_HK",1D812D71-754C-6196-218F-13F1D203EFEB,226,,450779BC-2752-AA28-CD24-DF7E08F20A77,158,N,Logical Type,,N,,,,DOM3000004,18,LOGDT025,32,,,,,,,,,N,,CHAR,,,,N,Y,"StudentAcademicPlan_T2",,,CHAR,20,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",64,64,0,
"AcademicCareer_HK",C2C702B3-697F-2A3B-0B62-AA0256839790,227,,4FA66A85-7CD3-5CD1-3397-880B85F3E950,155,N,Logical Type,,N,,,,DOM3000004,18,LOGDT025,32,,,,,,,,,N,,CHAR,,,,N,Y,"Session_T1",,,CHAR,3,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",64,64,0,
"AcademicCareer_HK",CCDC476E-F42B-8F5C-94F0-1E7A0C8537C8,228,,78CA9723-A53A-59AC-334E-F658F6DE3728,99,N,Logical Type,,N,,,,DOM3000004,18,LOGDT025,32,,,,,,,,,N,,CHAR,,,,N,Y,"AdmissionProgress_T1",,,CHAR,21,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",64,64,0,
"AcademicCareer_HK",54755C50-7E99-B6DA-9597-03D7E8D975E1,229,,8007C8C4-EF58-E8AD-55A7-BFAA3E83A1B7,91,Y,Logical Type,,N,,,,DOM3000004,18,LOGDT025,32,,,,,,,,,N,,CHAR,,,,N,Y,"AcademicCareer_T1",P,,CHAR,1,8E7CDB99-5E37-220E-AEF4-19DCCA76A4D9,90,"Conformed Vault",64,,,
